Namespace(alpha=0.4, beta=0.5, cl_batch_size=0, dataset='wisconsin', dropedge_rate_1=0.2, dropedge_rate_2=0.2, dropnode_rate_1=0.0, dropnode_rate_2=0.0, dropout=0.5, emb_dim=512, epochs=400, eval_freq=10, gamma=0.5, lr=0.001, maskfeat_rate_1=0.4, maskfeat_rate_2=0.4, nlayers_enc=2, nlayers_proj=2, ntrials=400, proj_dim=128, sparse=0)
[TEST] Trial:0000 | Epoch:0010 | CL loss:-0.2432 | VAL ACC:72.50 | TEST ACC:76.47
[TEST] Trial:0001 | Epoch:0010 | CL loss:-0.2463 | VAL ACC:73.75 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0020 | CL loss:-0.3529 | VAL ACC:71.25 | TEST ACC:86.27
[TEST] Trial:0001 | Epoch:0030 | CL loss:-0.4245 | VAL ACC:77.50 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0040 | CL loss:-0.4841 | VAL ACC:78.75 | TEST ACC:82.35
[TEST] Trial:0001 | Epoch:0050 | CL loss:-0.5375 | VAL ACC:66.25 | TEST ACC:90.20
[TEST] Trial:0001 | Epoch:0060 | CL loss:-0.5677 | VAL ACC:66.25 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0070 | CL loss:-0.6337 | VAL ACC:75.00 | TEST ACC:78.43
[TEST] Trial:0001 | Epoch:0080 | CL loss:-0.6615 | VAL ACC:65.00 | TEST ACC:86.27
[TEST] Trial:0001 | Epoch:0090 | CL loss:-0.6748 | VAL ACC:67.50 | TEST ACC:78.43
[TEST] Trial:0001 | Epoch:0100 | CL loss:-0.6731 | VAL ACC:70.00 | TEST ACC:82.35
[TEST] Trial:0001 | Epoch:0110 | CL loss:-0.6906 | VAL ACC:71.25 | TEST ACC:76.47
[TEST] Trial:0001 | Epoch:0120 | CL loss:-0.7034 | VAL ACC:73.75 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0130 | CL loss:-0.7147 | VAL ACC:66.25 | TEST ACC:88.24
[TEST] Trial:0001 | Epoch:0140 | CL loss:-0.6935 | VAL ACC:67.50 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0150 | CL loss:-0.7091 | VAL ACC:68.75 | TEST ACC:82.35
[TEST] Trial:0001 | Epoch:0160 | CL loss:-0.7029 | VAL ACC:63.75 | TEST ACC:86.27
[TEST] Trial:0001 | Epoch:0170 | CL loss:-0.7230 | VAL ACC:63.75 | TEST ACC:86.27
[TEST] Trial:0001 | Epoch:0180 | CL loss:-0.7014 | VAL ACC:72.50 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0190 | CL loss:-0.7199 | VAL ACC:68.75 | TEST ACC:86.27
[TEST] Trial:0001 | Epoch:0200 | CL loss:-0.7253 | VAL ACC:62.50 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0210 | CL loss:-0.7249 | VAL ACC:70.00 | TEST ACC:78.43
[TEST] Trial:0001 | Epoch:0220 | CL loss:-0.7405 | VAL ACC:72.50 | TEST ACC:78.43
[TEST] Trial:0001 | Epoch:0230 | CL loss:-0.7217 | VAL ACC:68.75 | TEST ACC:88.24
[TEST] Trial:0001 | Epoch:0240 | CL loss:-0.7362 | VAL ACC:67.50 | TEST ACC:88.24
[TEST] Trial:0001 | Epoch:0250 | CL loss:-0.7246 | VAL ACC:72.50 | TEST ACC:82.35
[TEST] Trial:0001 | Epoch:0260 | CL loss:-0.7475 | VAL ACC:66.25 | TEST ACC:76.47
[TEST] Trial:0001 | Epoch:0270 | CL loss:-0.7275 | VAL ACC:61.25 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0280 | CL loss:-0.7430 | VAL ACC:67.50 | TEST ACC:82.35
[TEST] Trial:0001 | Epoch:0290 | CL loss:-0.7351 | VAL ACC:65.00 | TEST ACC:86.27
[TEST] Trial:0001 | Epoch:0300 | CL loss:-0.7415 | VAL ACC:68.75 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0310 | CL loss:-0.7384 | VAL ACC:66.25 | TEST ACC:88.24
[TEST] Trial:0001 | Epoch:0320 | CL loss:-0.7472 | VAL ACC:73.75 | TEST ACC:82.35
[TEST] Trial:0001 | Epoch:0330 | CL loss:-0.7479 | VAL ACC:67.50 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0340 | CL loss:-0.7420 | VAL ACC:65.00 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0350 | CL loss:-0.7365 | VAL ACC:66.25 | TEST ACC:88.24
[TEST] Trial:0001 | Epoch:0360 | CL loss:-0.7285 | VAL ACC:67.50 | TEST ACC:80.39
[TEST] Trial:0001 | Epoch:0370 | CL loss:-0.7239 | VAL ACC:73.75 | TEST ACC:88.24
[TEST] Trial:0001 | Epoch:0380 | CL loss:-0.7391 | VAL ACC:67.50 | TEST ACC:86.27
[TEST] Trial:0001 | Epoch:0390 | CL loss:-0.7377 | VAL ACC:71.25 | TEST ACC:84.31
[TEST] Trial:0001 | Epoch:0400 | CL loss:-0.7329 | VAL ACC:71.25 | TEST ACC:88.24
[TEST] Trial:0002 | Epoch:0010 | CL loss:-0.2710 | VAL ACC:76.25 | TEST ACC:68.63
[TEST] Trial:0002 | Epoch:0020 | CL loss:-0.3445 | VAL ACC:78.75 | TEST ACC:80.39
[TEST] Trial:0002 | Epoch:0030 | CL loss:-0.4276 | VAL ACC:76.25 | TEST ACC:64.71
[TEST] Trial:0002 | Epoch:0040 | CL loss:-0.4788 | VAL ACC:73.75 | TEST ACC:68.63
[TEST] Trial:0002 | Epoch:0050 | CL loss:-0.5451 | VAL ACC:73.75 | TEST ACC:60.78
[TEST] Trial:0002 | Epoch:0060 | CL loss:-0.5930 | VAL ACC:62.50 | TEST ACC:70.59
[TEST] Trial:0002 | Epoch:0070 | CL loss:-0.6082 | VAL ACC:75.00 | TEST ACC:62.75
[TEST] Trial:0002 | Epoch:0080 | CL loss:-0.6165 | VAL ACC:75.00 | TEST ACC:72.55
[TEST] Trial:0002 | Epoch:0090 | CL loss:-0.6345 | VAL ACC:70.00 | TEST ACC:66.67
[TEST] Trial:0002 | Epoch:0100 | CL loss:-0.6455 | VAL ACC:71.25 | TEST ACC:64.71
[TEST] Trial:0002 | Epoch:0110 | CL loss:-0.6600 | VAL ACC:71.25 | TEST ACC:64.71
[TEST] Trial:0002 | Epoch:0120 | CL loss:-0.6817 | VAL ACC:73.75 | TEST ACC:66.67
[TEST] Trial:0002 | Epoch:0130 | CL loss:-0.6840 | VAL ACC:73.75 | TEST ACC:68.63
[TEST] Trial:0002 | Epoch:0140 | CL loss:-0.6786 | VAL ACC:76.25 | TEST ACC:68.63
[TEST] Trial:0002 | Epoch:0150 | CL loss:-0.6984 | VAL ACC:80.00 | TEST ACC:70.59
[TEST] Trial:0002 | Epoch:0160 | CL loss:-0.7124 | VAL ACC:77.50 | TEST ACC:60.78
[TEST] Trial:0002 | Epoch:0170 | CL loss:-0.7056 | VAL ACC:73.75 | TEST ACC:62.75
[TEST] Trial:0002 | Epoch:0180 | CL loss:-0.7221 | VAL ACC:77.50 | TEST ACC:66.67
[TEST] Trial:0002 | Epoch:0190 | CL loss:-0.7118 | VAL ACC:70.00 | TEST ACC:58.82
[TEST] Trial:0002 | Epoch:0200 | CL loss:-0.7101 | VAL ACC:80.00 | TEST ACC:70.59
[TEST] Trial:0002 | Epoch:0210 | CL loss:-0.7043 | VAL ACC:72.50 | TEST ACC:62.75
[TEST] Trial:0002 | Epoch:0220 | CL loss:-0.7334 | VAL ACC:78.75 | TEST ACC:72.55
[TEST] Trial:0002 | Epoch:0230 | CL loss:-0.7187 | VAL ACC:72.50 | TEST ACC:58.82
[TEST] Trial:0002 | Epoch:0240 | CL loss:-0.7248 | VAL ACC:70.00 | TEST ACC:64.71
[TEST] Trial:0002 | Epoch:0250 | CL loss:-0.7219 | VAL ACC:67.50 | TEST ACC:66.67
[TEST] Trial:0002 | Epoch:0260 | CL loss:-0.7199 | VAL ACC:72.50 | TEST ACC:62.75
[TEST] Trial:0002 | Epoch:0270 | CL loss:-0.7296 | VAL ACC:75.00 | TEST ACC:70.59
[TEST] Trial:0002 | Epoch:0280 | CL loss:-0.7325 | VAL ACC:75.00 | TEST ACC:58.82
[TEST] Trial:0002 | Epoch:0290 | CL loss:-0.7202 | VAL ACC:73.75 | TEST ACC:66.67
[TEST] Trial:0002 | Epoch:0300 | CL loss:-0.7208 | VAL ACC:68.75 | TEST ACC:60.78
[TEST] Trial:0002 | Epoch:0310 | CL loss:-0.7336 | VAL ACC:72.50 | TEST ACC:68.63
[TEST] Trial:0002 | Epoch:0320 | CL loss:-0.7401 | VAL ACC:71.25 | TEST ACC:72.55
[TEST] Trial:0002 | Epoch:0330 | CL loss:-0.7288 | VAL ACC:71.25 | TEST ACC:72.55
[TEST] Trial:0002 | Epoch:0340 | CL loss:-0.7363 | VAL ACC:75.00 | TEST ACC:68.63
[TEST] Trial:0002 | Epoch:0350 | CL loss:-0.7253 | VAL ACC:72.50 | TEST ACC:68.63
[TEST] Trial:0002 | Epoch:0360 | CL loss:-0.7401 | VAL ACC:73.75 | TEST ACC:66.67
[TEST] Trial:0002 | Epoch:0370 | CL loss:-0.7270 | VAL ACC:71.25 | TEST ACC:72.55
[TEST] Trial:0002 | Epoch:0380 | CL loss:-0.7327 | VAL ACC:75.00 | TEST ACC:60.78
[TEST] Trial:0002 | Epoch:0390 | CL loss:-0.7415 | VAL ACC:73.75 | TEST ACC:64.71
[TEST] Trial:0002 | Epoch:0400 | CL loss:-0.7486 | VAL ACC:75.00 | TEST ACC:66.67
[TEST] Trial:0003 | Epoch:0010 | CL loss:-0.2522 | VAL ACC:78.75 | TEST ACC:70.59
[TEST] Trial:0003 | Epoch:0020 | CL loss:-0.3588 | VAL ACC:75.00 | TEST ACC:68.63
[TEST] Trial:0003 | Epoch:0030 | CL loss:-0.4413 | VAL ACC:78.75 | TEST ACC:72.55
[TEST] Trial:0003 | Epoch:0040 | CL loss:-0.4959 | VAL ACC:78.75 | TEST ACC:66.67
[TEST] Trial:0003 | Epoch:0050 | CL loss:-0.5145 | VAL ACC:68.75 | TEST ACC:72.55
[TEST] Trial:0003 | Epoch:0060 | CL loss:-0.5655 | VAL ACC:72.50 | TEST ACC:70.59
[TEST] Trial:0003 | Epoch:0070 | CL loss:-0.6039 | VAL ACC:80.00 | TEST ACC:74.51
[TEST] Trial:0003 | Epoch:0080 | CL loss:-0.6267 | VAL ACC:80.00 | TEST ACC:68.63
[TEST] Trial:0003 | Epoch:0090 | CL loss:-0.6343 | VAL ACC:77.50 | TEST ACC:74.51
[TEST] Trial:0003 | Epoch:0100 | CL loss:-0.6390 | VAL ACC:76.25 | TEST ACC:64.71
[TEST] Trial:0003 | Epoch:0110 | CL loss:-0.6518 | VAL ACC:78.75 | TEST ACC:66.67
[TEST] Trial:0003 | Epoch:0120 | CL loss:-0.6660 | VAL ACC:77.50 | TEST ACC:76.47
[TEST] Trial:0003 | Epoch:0130 | CL loss:-0.6726 | VAL ACC:81.25 | TEST ACC:68.63
[TEST] Trial:0003 | Epoch:0140 | CL loss:-0.6798 | VAL ACC:76.25 | TEST ACC:72.55
[TEST] Trial:0003 | Epoch:0150 | CL loss:-0.6843 | VAL ACC:81.25 | TEST ACC:62.75
[TEST] Trial:0003 | Epoch:0160 | CL loss:-0.6837 | VAL ACC:77.50 | TEST ACC:70.59
[TEST] Trial:0003 | Epoch:0170 | CL loss:-0.6875 | VAL ACC:78.75 | TEST ACC:74.51
[TEST] Trial:0003 | Epoch:0180 | CL loss:-0.7059 | VAL ACC:76.25 | TEST ACC:64.71
[TEST] Trial:0003 | Epoch:0190 | CL loss:-0.7030 | VAL ACC:81.25 | TEST ACC:62.75
[TEST] Trial:0003 | Epoch:0200 | CL loss:-0.6917 | VAL ACC:73.75 | TEST ACC:60.78
[TEST] Trial:0003 | Epoch:0210 | CL loss:-0.7271 | VAL ACC:77.50 | TEST ACC:70.59
[TEST] Trial:0003 | Epoch:0220 | CL loss:-0.7093 | VAL ACC:81.25 | TEST ACC:60.78
[TEST] Trial:0003 | Epoch:0230 | CL loss:-0.7142 | VAL ACC:75.00 | TEST ACC:70.59
[TEST] Trial:0003 | Epoch:0240 | CL loss:-0.7162 | VAL ACC:77.50 | TEST ACC:74.51
[TEST] Trial:0003 | Epoch:0250 | CL loss:-0.7224 | VAL ACC:77.50 | TEST ACC:70.59
[TEST] Trial:0003 | Epoch:0260 | CL loss:-0.7221 | VAL ACC:78.75 | TEST ACC:68.63
[TEST] Trial:0003 | Epoch:0270 | CL loss:-0.7341 | VAL ACC:73.75 | TEST ACC:58.82
[TEST] Trial:0003 | Epoch:0280 | CL loss:-0.7266 | VAL ACC:73.75 | TEST ACC:66.67
[TEST] Trial:0003 | Epoch:0290 | CL loss:-0.7291 | VAL ACC:75.00 | TEST ACC:66.67
[TEST] Trial:0003 | Epoch:0300 | CL loss:-0.7310 | VAL ACC:76.25 | TEST ACC:72.55
[TEST] Trial:0003 | Epoch:0310 | CL loss:-0.7224 | VAL ACC:81.25 | TEST ACC:68.63
[TEST] Trial:0003 | Epoch:0320 | CL loss:-0.7275 | VAL ACC:73.75 | TEST ACC:64.71
[TEST] Trial:0003 | Epoch:0330 | CL loss:-0.7271 | VAL ACC:70.00 | TEST ACC:70.59
[TEST] Trial:0003 | Epoch:0340 | CL loss:-0.7318 | VAL ACC:77.50 | TEST ACC:62.75
[TEST] Trial:0003 | Epoch:0350 | CL loss:-0.7439 | VAL ACC:71.25 | TEST ACC:68.63
[TEST] Trial:0003 | Epoch:0360 | CL loss:-0.7401 | VAL ACC:76.25 | TEST ACC:66.67
[TEST] Trial:0003 | Epoch:0370 | CL loss:-0.7396 | VAL ACC:77.50 | TEST ACC:72.55
[TEST] Trial:0003 | Epoch:0380 | CL loss:-0.7422 | VAL ACC:72.50 | TEST ACC:66.67
[TEST] Trial:0003 | Epoch:0390 | CL loss:-0.7528 | VAL ACC:72.50 | TEST ACC:64.71
[TEST] Trial:0003 | Epoch:0400 | CL loss:-0.7485 | VAL ACC:76.25 | TEST ACC:68.63
[TEST] Trial:0004 | Epoch:0010 | CL loss:-0.2195 | VAL ACC:71.25 | TEST ACC:78.43
[TEST] Trial:0004 | Epoch:0020 | CL loss:-0.3135 | VAL ACC:72.50 | TEST ACC:78.43
[TEST] Trial:0004 | Epoch:0030 | CL loss:-0.4015 | VAL ACC:71.25 | TEST ACC:76.47
[TEST] Trial:0004 | Epoch:0040 | CL loss:-0.4658 | VAL ACC:72.50 | TEST ACC:72.55
[TEST] Trial:0004 | Epoch:0050 | CL loss:-0.5193 | VAL ACC:70.00 | TEST ACC:76.47
[TEST] Trial:0004 | Epoch:0060 | CL loss:-0.5562 | VAL ACC:76.25 | TEST ACC:72.55
[TEST] Trial:0004 | Epoch:0070 | CL loss:-0.6020 | VAL ACC:71.25 | TEST ACC:66.67
[TEST] Trial:0004 | Epoch:0080 | CL loss:-0.6144 | VAL ACC:70.00 | TEST ACC:72.55
[TEST] Trial:0004 | Epoch:0090 | CL loss:-0.6444 | VAL ACC:71.25 | TEST ACC:78.43
[TEST] Trial:0004 | Epoch:0100 | CL loss:-0.6643 | VAL ACC:72.50 | TEST ACC:74.51
[TEST] Trial:0004 | Epoch:0110 | CL loss:-0.6800 | VAL ACC:73.75 | TEST ACC:78.43
[TEST] Trial:0004 | Epoch:0120 | CL loss:-0.6955 | VAL ACC:77.50 | TEST ACC:76.47
[TEST] Trial:0004 | Epoch:0130 | CL loss:-0.6857 | VAL ACC:71.25 | TEST ACC:74.51
[TEST] Trial:0004 | Epoch:0140 | CL loss:-0.6874 | VAL ACC:71.25 | TEST ACC:68.63
[TEST] Trial:0004 | Epoch:0150 | CL loss:-0.7166 | VAL ACC:73.75 | TEST ACC:74.51
[TEST] Trial:0004 | Epoch:0160 | CL loss:-0.7085 | VAL ACC:66.25 | TEST ACC:80.39
[TEST] Trial:0004 | Epoch:0170 | CL loss:-0.6891 | VAL ACC:68.75 | TEST ACC:82.35
[TEST] Trial:0004 | Epoch:0180 | CL loss:-0.7019 | VAL ACC:73.75 | TEST ACC:70.59
[TEST] Trial:0004 | Epoch:0190 | CL loss:-0.7166 | VAL ACC:70.00 | TEST ACC:80.39
[TEST] Trial:0004 | Epoch:0200 | CL loss:-0.7111 | VAL ACC:73.75 | TEST ACC:66.67
[TEST] Trial:0004 | Epoch:0210 | CL loss:-0.6983 | VAL ACC:67.50 | TEST ACC:78.43
[TEST] Trial:0004 | Epoch:0220 | CL loss:-0.7032 | VAL ACC:72.50 | TEST ACC:72.55
[TEST] Trial:0004 | Epoch:0230 | CL loss:-0.7058 | VAL ACC:73.75 | TEST ACC:80.39
[TEST] Trial:0004 | Epoch:0240 | CL loss:-0.7084 | VAL ACC:71.25 | TEST ACC:76.47
[TEST] Trial:0004 | Epoch:0250 | CL loss:-0.7192 | VAL ACC:72.50 | TEST ACC:78.43
[TEST] Trial:0004 | Epoch:0260 | CL loss:-0.7286 | VAL ACC:68.75 | TEST ACC:76.47
[TEST] Trial:0004 | Epoch:0270 | CL loss:-0.7065 | VAL ACC:70.00 | TEST ACC:76.47
[TEST] Trial:0004 | Epoch:0280 | CL loss:-0.7064 | VAL ACC:68.75 | TEST ACC:80.39
[TEST] Trial:0004 | Epoch:0290 | CL loss:-0.7205 | VAL ACC:67.50 | TEST ACC:74.51
[TEST] Trial:0004 | Epoch:0300 | CL loss:-0.7291 | VAL ACC:71.25 | TEST ACC:74.51
[TEST] Trial:0004 | Epoch:0310 | CL loss:-0.7235 | VAL ACC:68.75 | TEST ACC:76.47
[TEST] Trial:0004 | Epoch:0320 | CL loss:-0.7204 | VAL ACC:73.75 | TEST ACC:72.55
[TEST] Trial:0004 | Epoch:0330 | CL loss:-0.7227 | VAL ACC:68.75 | TEST ACC:72.55
[TEST] Trial:0004 | Epoch:0340 | CL loss:-0.7331 | VAL ACC:71.25 | TEST ACC:70.59
[TEST] Trial:0004 | Epoch:0350 | CL loss:-0.7325 | VAL ACC:72.50 | TEST ACC:72.55
[TEST] Trial:0004 | Epoch:0360 | CL loss:-0.7172 | VAL ACC:76.25 | TEST ACC:76.47
[TEST] Trial:0004 | Epoch:0370 | CL loss:-0.7298 | VAL ACC:71.25 | TEST ACC:74.51
[TEST] Trial:0004 | Epoch:0380 | CL loss:-0.7380 | VAL ACC:70.00 | TEST ACC:78.43
[TEST] Trial:0004 | Epoch:0390 | CL loss:-0.7488 | VAL ACC:70.00 | TEST ACC:74.51
[TEST] Trial:0004 | Epoch:0400 | CL loss:-0.7361 | VAL ACC:71.25 | TEST ACC:72.55
[TEST] Trial:0005 | Epoch:0010 | CL loss:-0.2266 | VAL ACC:75.00 | TEST ACC:68.63
[TEST] Trial:0005 | Epoch:0020 | CL loss:-0.3434 | VAL ACC:75.00 | TEST ACC:82.35
[TEST] Trial:0005 | Epoch:0030 | CL loss:-0.3969 | VAL ACC:73.75 | TEST ACC:68.63
[TEST] Trial:0005 | Epoch:0040 | CL loss:-0.4490 | VAL ACC:73.75 | TEST ACC:60.78
[TEST] Trial:0005 | Epoch:0050 | CL loss:-0.5039 | VAL ACC:70.00 | TEST ACC:78.43
[TEST] Trial:0005 | Epoch:0060 | CL loss:-0.5562 | VAL ACC:75.00 | TEST ACC:72.55
[TEST] Trial:0005 | Epoch:0070 | CL loss:-0.5835 | VAL ACC:73.75 | TEST ACC:68.63
[TEST] Trial:0005 | Epoch:0080 | CL loss:-0.6116 | VAL ACC:75.00 | TEST ACC:72.55
[TEST] Trial:0005 | Epoch:0090 | CL loss:-0.6633 | VAL ACC:76.25 | TEST ACC:72.55
[TEST] Trial:0005 | Epoch:0100 | CL loss:-0.6591 | VAL ACC:77.50 | TEST ACC:70.59
[TEST] Trial:0005 | Epoch:0110 | CL loss:-0.6814 | VAL ACC:73.75 | TEST ACC:76.47
[TEST] Trial:0005 | Epoch:0120 | CL loss:-0.6876 | VAL ACC:73.75 | TEST ACC:78.43
[TEST] Trial:0005 | Epoch:0130 | CL loss:-0.6850 | VAL ACC:73.75 | TEST ACC:68.63
[TEST] Trial:0005 | Epoch:0140 | CL loss:-0.6997 | VAL ACC:73.75 | TEST ACC:72.55
[TEST] Trial:0005 | Epoch:0150 | CL loss:-0.7140 | VAL ACC:76.25 | TEST ACC:72.55
[TEST] Trial:0005 | Epoch:0160 | CL loss:-0.7124 | VAL ACC:73.75 | TEST ACC:68.63
[TEST] Trial:0005 | Epoch:0170 | CL loss:-0.7056 | VAL ACC:75.00 | TEST ACC:72.55
[TEST] Trial:0005 | Epoch:0180 | CL loss:-0.7185 | VAL ACC:77.50 | TEST ACC:60.78
[TEST] Trial:0005 | Epoch:0190 | CL loss:-0.7019 | VAL ACC:78.75 | TEST ACC:68.63
[TEST] Trial:0005 | Epoch:0200 | CL loss:-0.6936 | VAL ACC:71.25 | TEST ACC:70.59
[TEST] Trial:0005 | Epoch:0210 | CL loss:-0.7227 | VAL ACC:76.25 | TEST ACC:72.55
[TEST] Trial:0005 | Epoch:0220 | CL loss:-0.7193 | VAL ACC:75.00 | TEST ACC:66.67
[TEST] Trial:0005 | Epoch:0230 | CL loss:-0.7170 | VAL ACC:67.50 | TEST ACC:70.59
[TEST] Trial:0005 | Epoch:0240 | CL loss:-0.7237 | VAL ACC:68.75 | TEST ACC:64.71
[TEST] Trial:0005 | Epoch:0250 | CL loss:-0.7261 | VAL ACC:71.25 | TEST ACC:74.51
[TEST] Trial:0005 | Epoch:0260 | CL loss:-0.7129 | VAL ACC:72.50 | TEST ACC:68.63
[TEST] Trial:0005 | Epoch:0270 | CL loss:-0.7256 | VAL ACC:80.00 | TEST ACC:74.51
[TEST] Trial:0005 | Epoch:0280 | CL loss:-0.7318 | VAL ACC:72.50 | TEST ACC:72.55
[TEST] Trial:0005 | Epoch:0290 | CL loss:-0.7165 | VAL ACC:76.25 | TEST ACC:78.43
[TEST] Trial:0005 | Epoch:0300 | CL loss:-0.7349 | VAL ACC:71.25 | TEST ACC:64.71
[TEST] Trial:0005 | Epoch:0310 | CL loss:-0.7008 | VAL ACC:72.50 | TEST ACC:74.51
[TEST] Trial:0005 | Epoch:0320 | CL loss:-0.7219 | VAL ACC:70.00 | TEST ACC:74.51
[TEST] Trial:0005 | Epoch:0330 | CL loss:-0.7208 | VAL ACC:70.00 | TEST ACC:70.59
[TEST] Trial:0005 | Epoch:0340 | CL loss:-0.7379 | VAL ACC:70.00 | TEST ACC:70.59
[TEST] Trial:0005 | Epoch:0350 | CL loss:-0.7305 | VAL ACC:68.75 | TEST ACC:70.59
[TEST] Trial:0005 | Epoch:0360 | CL loss:-0.7419 | VAL ACC:65.00 | TEST ACC:66.67
[TEST] Trial:0005 | Epoch:0370 | CL loss:-0.7185 | VAL ACC:65.00 | TEST ACC:72.55
